FIPS,Name,State
0500000US01001,Autauga,Alabama
0500000US01003,Baldwin,Alabama
0500000US01005,Barbour,Alabama
0500000US01007,Bibb,Alabama
0500000US01009,Blount,Alabama
0500000US01011,Bullock,Alabama
0500000US01013,Butler,Alabama
0500000US01015,Calhoun,Alabama
0500000US01017,Chambers,Alabama
0500000US01019,Cherokee,Alabama
0500000US01021,Chilton,Alabama
0500000US01023,Choctaw,Alabama
0500000US01025,Clarke,Alabama
0500000US01027,Clay,Alabama
0500000US01029,Cleburne,Alabama
0500000US01031,Coffee,Alabama
0500000US01033,Colbert,Alabama
0500000US01035,Conecuh,Alabama
0500000US01037,Coosa,Alabama
0500000US01039,Covington,Alabama
0500000US01041,Crenshaw,Alabama
0500000US01043,Cullman,Alabama
0500000US01045,Dale County,Alabama
0500000US01047,Dallas,Alabama
0500000US01049,DeKalb,Alabama
0500000US01051,Elmore,Alabama
0500000US01053,Escambia,Alabama
0500000US01055,Etowah,Alabama
0500000US01057,Fayette,Alabama
0500000US01059,Franklin,Alabama
0500000US01061,Geneva,Alabama
0500000US01063,Greene,Alabama
0500000US01065,Hale,Alabama
0500000US01067,Henry,Alabama
0500000US01069,Houston,Alabama
0500000US01071,Jackson,Alabama
0500000US01073,Jefferson,Alabama
0500000US01075,Lamar,Alabama
0500000US01077,Lauderdale,Alabama
0500000US01079,Lawrence,Alabama
0500000US01081,Lee,Alabama
0500000US01083,Limestone,Alabama
0500000US01085,Lowndes,Alabama
0500000US01087,Macon,Alabama
0500000US01089,Madison,Alabama
0500000US01091,Marengo,Alabama
0500000US01093,Marion,Alabama
0500000US01095,Marshall,Alabama
0500000US01097,Mobile,Alabama
0500000US01099,Monroe,Alabama
0500000US01101,Montgomery,Alabama
0500000US01103,Morgan,Alabama
0500000US01105,Perry,Alabama
0500000US01107,Pickens,Alabama
0500000US01109,Pike,Alabama
0500000US01111,Randolph,Alabama
0500000US01113,Russell,Alabama
0500000US01115,St. Clair,Alabama
0500000US01117,Shelby,Alabama
0500000US01119,Sumter,Alabama
0500000US01121,Talladega,Alabama
0500000US01123,Tallapoosa,Alabama
0500000US01125,Tuscaloosa,Alabama
0500000US01127,Walker,Alabama
0500000US01129,Washington,Alabama
0500000US01131,Wilcox,Alabama
0500000US01133,Winston,Alabama
0500000US02013,Aleutians East,Alaska
0500000US02016,Aleutians West,Alaska
0500000US02020,Anchorage,Alaska
0500000US02050,Bethel,Alaska
0500000US02060,Bristol Bay,Alaska
0500000US02063,Chugach,Alaska
0500000US02066,Copper River,Alaska
0500000US02068,Denali,Alaska
0500000US02070,Dillingham,Alaska
0500000US02090,Fairbanks North Star,Alaska
0500000US02100,Haines,Alaska
0500000US02105,Hoonah-Angoon,Alaska
0500000US02110,Juneau,Alaska
0500000US02122,Kenai Peninsula,Alaska
0500000US02130,Ketchikan Gateway,Alaska
0500000US02150,Kodiak Island,Alaska
0500000US02158,Kusilvak,Alaska
0500000US02164,Lake and Peninsula,Alaska
0500000US02170,Matanuska-Susitna,Alaska
0500000US02180,Nome,Alaska
0500000US02185,North Slope,Alaska
0500000US02188,Northwest Arctic,Alaska
0500000US02195,Petersburg Borough,Alaska
0500000US02198,Prince of Wales-Hyder,Alaska
0500000US02201,Prince of Wales-Outer Ketchikan,Alaska
0500000US02220,Sitka City,Alaska
0500000US02232,Skagway Municipality,Alaska
0500000US02240,Southeast Fairbanks,Alaska
0500000US02261,Valdez-Cordova,Alaska
0500000US02270,Wade Hampton,Alaska
0500000US02275,Wrangell City,Alaska
0500000US02280,Wrangell-Petersburg,Alaska
0500000US02282,Yakutat,Alaska
0500000US02290,Yukon-Koyukuk,Alaska
0500000US04001,Apache,Arizona
0500000US04003,Cochise,Arizona
0500000US04005,Coconino,Arizona
0500000US04007,Gila,Arizona
0500000US04009,Graham,Arizona
0500000US04011,Greenlee,Arizona
0500000US04012,La Paz,Arizona
0500000US04013,Maricopa,Arizona
0500000US04015,Mohave,Arizona
0500000US04017,Navajo,Arizona
0500000US04019,Pima,Arizona
0500000US04021,Pinal,Arizona
0500000US04023,Santa Cruz,Arizona
0500000US04025,Yavapai,Arizona
0500000US04027,Yuma,Arizona
